event_id,org_id,admin_email,user_id,event_type,event_date,event_time,session_id,platform,feature_module,duration_sec
EVT-0000018,12f06b90,admin@company001.com,12f06b-U04,dashboard_view,2025-03-16,09:17:09,SES-498458,web,Users,403
EVT-0000019,12f06b90,admin@company001.com,12f06b-U06,dashboard_view,2025-03-15,09:00:19,SES-566339,mobile_ios,Dashboard,109
EVT-0000020,12f06b90,admin@company001.com,12f06b-U03,dashboard_view,2025-03-15,10:27:28,SES-684041,mobile_android,Analytics,31
EVT-0000021,12f06b90,admin@company001.com,12f06b-U02,integration_connected,2025-03-15,16:05:38,SES-727094,mobile_ios,Settings,17
EVT-0000022,12f06b90,admin@company001.com,12f06b-U05,user_invited,2025-03-15,14:49:05,SES-860053,web,Integrations,538
EVT-0000023,12f06b90,admin@company001.com,12f06b-U03,user_invited,2025-03-15,10:08:17,SES-415759,mobile_ios,Settings,154
EVT-0000024,12f06b90,admin@company001.com,12f06b-U02,report_generated,2025-03-15,14:17:26,SES-414313,mobile_android,Analytics,374
EVT-0000025,12f06b90,admin@company001.com,12f06b-U05,export_data,2025-03-15,19:40:31,SES-722651,web,Settings,114
EVT-0000026,12f06b90,admin@company001.com,12f06b-U03,settings_changed,2025-03-15,08:25:21,SES-982495,mobile_android,Dashboard,455
EVT-0000027,12f06b90,admin@company001.com,12f06b-U06,user_invited,2025-03-15,21:52:55,SES-782661,web,Dashboard,333
EVT-0000028,12f06b90,admin@company001.com,12f06b-U04,feature_used,2025-03-15,13:11:25,SES-434640,mobile_ios,Users,507
EVT-0000029,12f06b90,admin@company001.com,12f06b-U04,integration_connected,2025-03-15,14:17:52,SES-924040,mobile_android,Dashboard,121
EVT-0000030,12f06b90,admin@company001.com,12f06b-U04,session_start,2025-03-15,16:11:43,SES-904905,web,Users,477
EVT-0000031,12f06b90,admin@company001.com,12f06b-U08,settings_changed,2025-03-14,21:44:04,SES-958747,mobile_android,Users,516
EVT-0000032,12f06b90,admin@company001.com,12f06b-U03,settings_changed,2025-03-14,11:16:42,SES-261630,mobile_android,Settings,80
EVT-0000033,12f06b90,admin@company001.com,12f06b-U08,session_start,2025-03-14,15:37:25,SES-660324,mobile_android,Integrations,42
EVT-0000034,12f06b90,admin@company001.com,12f06b-U06,api_call,2025-03-14,17:40:58,SES-189110,web,Reports,368
EVT-0000035,12f06b90,admin@company001.com,12f06b-U03,session_start,2025-03-14,08:36:41,SES-810380,mobile_android,Dashboard,445
EVT-0000036,12f06b90,admin@company001.com,12f06b-U02,login,2025-03-14,09:16:14,SES-635482,web,Settings,388
EVT-0000037,12f06b90,admin@company001.com,12f06b-U07,feature_used,2025-03-14,20:43:37,SES-823975,web,Dashboard,30
EVT-0000038,12f06b90,admin@company001.com,12f06b-U08,dashboard_view,2025-03-14,12:26:58,SES-190025,web,Users,150
EVT-0000039,12f06b90,admin@company001.com,12f06b-U05,integration_connected,2025-03-13,15:50:13,SES-646428,mobile_android,Dashboard,492
EVT-0000040,12f06b90,admin@company001.com,12f06b-U02,feature_used,2025-03-13,19:44:28,SES-434400,web,Dashboard,50
EVT-0000041,12f06b90,admin@company001.com,12f06b-U02,login,2025-03-13,21:21:41,SES-214675,web,Users,254
EVT-0000042,12f06b90,admin@company001.com,12f06b-U03,api_call,2025-03-13,10:21:35,SES-547080,mobile_android,Reports,419
EVT-0000043,12f06b90,admin@company001.com,12f06b-U03,report_generated,2025-03-13,18:42:27,SES-514798,web,Users,207
EVT-0000044,12f06b90,admin@company001.com,12f06b-U08,session_start,2025-03-13,14:24:00,SES-838968,web,Reports,290
EVT-0000045,12f06b90,admin@company001.com,12f06b-U02,session_start,2025-03-13,09:51:55,SES-662968,web,Dashboard,338
EVT-0000046,12f06b90,admin@company001.com,12f06b-U04,feature_used,2025-03-13,09:16:42,SES-613261,mobile_ios,Integrations,402
EVT-0000047,12f06b90,admin@company001.com,12f06b-U07,session_start,2025-03-13,09:22:22,SES-986589,mobile_android,Integrations,181
EVT-0000048,12f06b90,admin@company001.com,12f06b-U05,session_start,2025-03-13,17:05:43,SES-240454,mobile_ios,Analytics,249
EVT-0000049,12f06b90,admin@company001.com,12f06b-U05,dashboard_view,2025-03-13,10:23:44,SES-248225,mobile_android,Settings,146
EVT-0000050,12f06b90,admin@company001.com,12f06b-U07,user_invited,2025-03-13,10:31:40,SES-663483,web,Integrations,175
EVT-0000051,12f06b90,admin@company001.com,12f06b-U08,settings_changed,2025-03-13,10:11:20,SES-982885,mobile_android,Integrations,59
EVT-0000052,12f06b90,admin@company001.com,12f06b-U01,feature_used,2025-03-12,10:12:52,SES-502594,mobile_android,Settings,508
EVT-0000053,12f06b90,admin@company001.com,12f06b-U07,feature_used,2025-03-12,15:10:05,SES-692862,web,Reports,304
EVT-0000054,12f06b90,admin@company001.com,12f06b-U01,settings_changed,2025-03-12,11:34:18,SES-276379,mobile_android,Integrations,512
EVT-0000055,12f06b90,admin@company001.com,12f06b-U02,session_start,2025-03-12,09:17:49,SES-669488,mobile_ios,Integrations,47
EVT-0000056,12f06b90,admin@company001.com,12f06b-U08,api_call,2025-03-12,11:27:06,SES-871740,web,Dashboard,38
EVT-0000057,12f06b90,admin@company001.com,12f06b-U08,settings_changed,2025-03-12,13:55:52,SES-191208,mobile_android,Analytics,247
EVT-0000058,12f06b90,admin@company001.com,12f06b-U04,session_start,2025-03-12,19:22:55,SES-845279,mobile_android,Reports,147
EVT-0000059,12f06b90,admin@company001.com,12f06b-U04,export_data,2025-03-12,20:03:36,SES-467856,mobile_ios,Integrations,556
EVT-0000060,12f06b90,admin@company001.com,12f06b-U03,integration_connected,2025-03-12,19:18:18,SES-700556,mobile_ios,Integrations,102
EVT-0000061,12f06b90,admin@company001.com,12f06b-U03,user_invited,2025-03-12,22:03:17,SES-787757,web,Users,140
EVT-0000062,12f06b90,admin@company001.com,12f06b-U04,report_generated,2025-03-12,19:20:53,SES-359579,mobile_android,Settings,150
EVT-0000063,12f06b90,admin@company001.com,12f06b-U05,user_invited,2025-03-12,14:28:04,SES-764406,web,Settings,532
EVT-0000064,12f06b90,admin@company001.com,12f06b-U05,integration_connected,2025-03-12,15:31:20,SES-710224,web,Users,100
EVT-0000065,12f06b90,admin@company001.com,12f06b-U06,dashboard_view,2025-03-11,20:34:25,SES-328411,mobile_android,Reports,511
EVT-0000066,12f06b90,admin@company001.com,12f06b-U05,integration_connected,2025-03-11,21:18:21,SES-673896,web,Integrations,501
EVT-0000067,12f06b90,admin@company001.com,12f06b-U06,login,2025-03-11,08:06:40,SES-921967,mobile_android,Analytics,132
EVT-0000068,12f06b90,admin@company001.com,12f06b-U03,feature_used,2025-03-11,15:00:27,SES-312146,web,Users,314
EVT-0000069,12f06b90,admin@company001.com,12f06b-U03,settings_changed,2025-03-11,09:41:23,SES-362552,web,Dashboard,174
EVT-0000070,12f06b90,admin@company001.com,12f06b-U01,user_invited,2025-03-11,18:19:46,SES-833417,web,Settings,98
EVT-0000071,12f06b90,admin@company001.com,12f06b-U02,login,2025-03-11,11:30:04,SES-239145,web,Integrations,460
EVT-0000072,12f06b90,admin@company001.com,12f06b-U01,login,2025-03-11,19:21:52,SES-226451,mobile_android,Users,140
EVT-0000073,12f06b90,admin@company001.com,12f06b-U08,dashboard_view,2025-03-11,11:24:05,SES-866260,web,Analytics,325
EVT-0000074,12f06b90,admin@company001.com,12f06b-U06,settings_changed,2025-03-11,10:24:49,SES-952878,web,Users,151
EVT-0000075,12f06b90,admin@company001.com,12f06b-U02,api_call,2025-03-11,17:00:39,SES-781595,web,Settings,364
EVT-0000076,12f06b90,admin@company001.com,12f06b-U04,report_generated,2025-03-11,22:26:39,SES-819916,mobile_android,Reports,93
EVT-0000077,12f06b90,admin@company001.com,12f06b-U02,report_generated,2025-03-11,20:07:37,SES-865470,mobile_android,Dashboard,444
EVT-0000078,12f06b90,admin@company001.com,12f06b-U06,report_generated,2025-03-11,11:17:41,SES-188341,web,Integrations,296
EVT-0000079,12f06b90,admin@company001.com,12f06b-U01,settings_changed,2025-03-11,11:33:38,SES-634273,web,Users,406
EVT-0000080,12f06b90,admin@company001.com,12f06b-U05,login,2025-03-11,20:57:50,SES-350967,mobile_android,Settings,120
EVT-0000081,9fb5d27b,admin@company002.com,9fb5d2-U06,integration_connected,2025-03-17,10:24:55,SES-979727,mobile_android,Dashboard,564
EVT-0000082,9fb5d27b,admin@company002.com,9fb5d2-U03,feature_used,2025-03-17,20:04:01,SES-715895,web,Analytics,273
EVT-0000083,9fb5d27b,admin@company002.com,9fb5d2-U01,login,2025-03-16,20:25:32,SES-400404,mobile_android,Settings,416
EVT-0000084,9fb5d27b,admin@company002.com,9fb5d2-U02,api_call,2025-03-16,16:39:09,SES-390946,web,Dashboard,85
EVT-0000085,9fb5d27b,admin@company002.com,9fb5d2-U09,export_data,2025-03-16,20:09:34,SES-442622,mobile_android,Integrations,72
EVT-0000086,9fb5d27b,admin@company002.com,9fb5d2-U05,user_invited,2025-03-16,19:54:15,SES-160718,web,Analytics,449
EVT-0000087,9fb5d27b,admin@company002.com,9fb5d2-U02,feature_used,2025-03-16,17:38:03,SES-424314,web,Analytics,17
EVT-0000088,9fb5d27b,admin@company002.com,9fb5d2-U03,login,2025-03-16,10:31:22,SES-648410,mobile_ios,Reports,385
EVT-0000089,9fb5d27b,admin@company002.com,9fb5d2-U03,settings_changed,2025-03-16,19:56:07,SES-908903,web,Dashboard,444
EVT-0000090,9fb5d27b,admin@company002.com,9fb5d2-U05,api_call,2025-03-16,09:16:45,SES-704663,web,Settings,471
EVT-0000091,9fb5d27b,admin@company002.com,9fb5d2-U06,login,2025-03-15,15:54:36,SES-274987,mobile_ios,Reports,266
EVT-0000092,9fb5d27b,admin@company002.com,9fb5d2-U02,session_start,2025-03-15,18:46:07,SES-339499,web,Analytics,17
EVT-0000093,9fb5d27b,admin@company002.com,9fb5d2-U04,login,2025-03-15,15:23:24,SES-257375,web,Analytics,571
EVT-0000094,9fb5d27b,admin@company002.com,9fb5d2-U07,export_data,2025-03-15,13:15:26,SES-855276,mobile_ios,Dashboard,84
EVT-0000095,9fb5d27b,admin@company002.com,9fb5d2-U06,dashboard_view,2025-03-15,16:43:57,SES-155230,web,Reports,533
EVT-0000096,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-15,09:56:29,SES-396020,mobile_ios,Dashboard,93
EVT-0000097,9fb5d27b,admin@company002.com,9fb5d2-U09,feature_used,2025-03-15,08:23:12,SES-405759,mobile_ios,Users,253
EVT-0000098,9fb5d27b,admin@company002.com,9fb5d2-U08,integration_connected,2025-03-15,17:31:49,SES-913575,web,Users,564
EVT-0000099,9fb5d27b,admin@company002.com,9fb5d2-U04,report_generated,2025-03-15,08:59:26,SES-125071,web,Integrations,359
EVT-0000100,9fb5d27b,admin@company002.com,9fb5d2-U01,integration_connected,2025-03-15,08:48:42,SES-494552,mobile_ios,Analytics,215
EVT-0000101,9fb5d27b,admin@company002.com,9fb5d2-U09,export_data,2025-03-15,14:31:03,SES-249289,mobile_ios,Analytics,49
EVT-0000102,9fb5d27b,admin@company002.com,9fb5d2-U04,api_call,2025-03-15,14:44:57,SES-490586,mobile_android,Users,91
EVT-0000103,9fb5d27b,admin@company002.com,9fb5d2-U02,api_call,2025-03-15,10:40:52,SES-513507,web,Integrations,586
EVT-0000104,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-15,18:08:15,SES-405844,mobile_ios,Dashboard,407
EVT-0000105,9fb5d27b,admin@company002.com,9fb5d2-U06,integration_connected,2025-03-15,15:17:14,SES-178315,web,Reports,116
EVT-0000106,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-15,10:28:29,SES-429287,mobile_android,Analytics,553
EVT-0000107,9fb5d27b,admin@company002.com,9fb5d2-U06,export_data,2025-03-15,15:19:29,SES-377880,web,Analytics,166
EVT-0000108,9fb5d27b,admin@company002.com,9fb5d2-U05,session_start,2025-03-15,08:13:53,SES-998182,mobile_ios,Reports,98
EVT-0000109,9fb5d27b,admin@company002.com,9fb5d2-U06,user_invited,2025-03-14,16:03:43,SES-413357,mobile_ios,Reports,36
EVT-0000110,9fb5d27b,admin@company002.com,9fb5d2-U07,feature_used,2025-03-14,16:47:35,SES-361989,web,Settings,109
EVT-0000111,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-14,08:03:53,SES-918895,web,Reports,207
EVT-0000112,9fb5d27b,admin@company002.com,9fb5d2-U07,integration_connected,2025-03-14,18:40:41,SES-188121,mobile_ios,Analytics,27
EVT-0000113,9fb5d27b,admin@company002.com,9fb5d2-U02,export_data,2025-03-14,22:41:28,SES-948611,web,Analytics,344
EVT-0000114,9fb5d27b,admin@company002.com,9fb5d2-U02,login,2025-03-14,15:03:10,SES-701761,mobile_android,Users,409
EVT-0000115,9fb5d27b,admin@company002.com,9fb5d2-U08,login,2025-03-14,14:43:27,SES-281201,mobile_ios,Reports,196
EVT-0000116,9fb5d27b,admin@company002.com,9fb5d2-U05,settings_changed,2025-03-14,15:56:09,SES-136332,web,Users,307
EVT-0000117,9fb5d27b,admin@company002.com,9fb5d2-U08,user_invited,2025-03-14,22:35:30,SES-163941,web,Dashboard,397
EVT-0000118,9fb5d27b,admin@company002.com,9fb5d2-U07,export_data,2025-03-13,18:56:51,SES-651356,web,Users,561
EVT-0000119,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-13,20:45:22,SES-602985,mobile_android,Dashboard,584
EVT-0000120,9fb5d27b,admin@company002.com,9fb5d2-U09,integration_connected,2025-03-13,14:17:11,SES-127329,mobile_ios,Integrations,229
EVT-0000121,9fb5d27b,admin@company002.com,9fb5d2-U01,settings_changed,2025-03-13,08:51:30,SES-655149,mobile_ios,Integrations,243
EVT-0000122,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-13,11:42:15,SES-379473,web,Reports,594
EVT-0000123,9fb5d27b,admin@company002.com,9fb5d2-U07,integration_connected,2025-03-13,22:53:54,SES-282150,web,Reports,330
EVT-0000124,9fb5d27b,admin@company002.com,9fb5d2-U01,integration_connected,2025-03-12,17:36:09,SES-690462,web,Settings,560
EVT-0000125,9fb5d27b,admin@company002.com,9fb5d2-U05,report_generated,2025-03-12,15:02:05,SES-158896,web,Integrations,229
EVT-0000126,9fb5d27b,admin@company002.com,9fb5d2-U01,api_call,2025-03-12,15:00:21,SES-743966,web,Reports,353
EVT-0000127,9fb5d27b,admin@company002.com,9fb5d2-U03,integration_connected,2025-03-12,08:01:09,SES-715104,web,Analytics,543
EVT-0000128,9fb5d27b,admin@company002.com,9fb5d2-U06,dashboard_view,2025-03-12,13:45:42,SES-514812,web,Dashboard,314
EVT-0000129,9fb5d27b,admin@company002.com,9fb5d2-U06,report_generated,2025-03-12,10:46:27,SES-930307,mobile_android,Users,329
EVT-0000130,9fb5d27b,admin@company002.com,9fb5d2-U03,api_call,2025-03-12,19:56:59,SES-743520,mobile_ios,Reports,184
EVT-0000131,9fb5d27b,admin@company002.com,9fb5d2-U07,settings_changed,2025-03-12,19:44:18,SES-233534,web,Users,6
EVT-0000132,9fb5d27b,admin@company002.com,9fb5d2-U07,session_start,2025-03-12,08:11:38,SES-433674,web,Users,584
EVT-0000133,9fb5d27b,admin@company002.com,9fb5d2-U02,feature_used,2025-03-12,10:21:47,SES-181586,web,Dashboard,332
EVT-0000134,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-12,21:45:42,SES-770147,mobile_ios,Settings,16
EVT-0000135,9fb5d27b,admin@company002.com,9fb5d2-U05,export_data,2025-03-12,11:44:04,SES-467506,mobile_ios,Analytics,6
EVT-0000136,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-12,15:46:26,SES-274418,mobile_android,Settings,392
EVT-0000137,9fb5d27b,admin@company002.com,9fb5d2-U09,user_invited,2025-03-11,09:53:30,SES-927043,web,Reports,467
EVT-0000138,9fb5d27b,admin@company002.com,9fb5d2-U02,login,2025-03-11,12:01:20,SES-373812,web,Analytics,355
EVT-0000139,9fb5d27b,admin@company002.com,9fb5d2-U03,user_invited,2025-03-11,10:46:04,SES-673619,web,Dashboard,499
EVT-0000140,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-11,18:10:38,SES-555292,web,Analytics,108
EVT-0000141,9fb5d27b,admin@company002.com,9fb5d2-U06,export_data,2025-03-11,11:26:44,SES-681028,mobile_ios,Users,293
EVT-0000142,9fb5d27b,admin@company002.com,9fb5d2-U05,export_data,2025-03-11,09:03:25,SES-699544,mobile_android,Reports,60
EVT-0000143,9fb5d27b,admin@company002.com,9fb5d2-U06,login,2025-03-11,14:05:18,SES-963918,mobile_android,Reports,104
EVT-0000144,9fb5d27b,admin@company002.com,9fb5d2-U01,export_data,2025-03-11,10:40:18,SES-185916,mobile_android,Analytics,320
EVT-0000145,9fb5d27b,admin@company002.com,9fb5d2-U07,feature_used,2025-03-11,15:57:42,SES-377877,web,Users,562
EVT-0000146,9fb5d27b,admin@company002.com,9fb5d2-U07,report_generated,2025-03-11,13:56:24,SES-487345,web,Settings,50
EVT-0000147,9fb5d27b,admin@company002.com,9fb5d2-U05,feature_used,2025-03-11,15:16:14,SES-977740,mobile_ios,Integrations,68
EVT-0000148,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-11,09:42:22,SES-947438,mobile_android,Integrations,237
EVT-0000149,9fb5d27b,admin@company002.com,9fb5d2-U09,login,2025-03-11,21:24:52,SES-647967,mobile_android,Integrations,491
EVT-0000150,9fb5d27b,admin@company002.com,9fb5d2-U04,feature_used,2025-03-10,12:05:25,SES-995420,web,Integrations,589
EVT-0000151,9fb5d27b,admin@company002.com,9fb5d2-U09,session_start,2025-03-10,18:39:09,SES-226124,mobile_android,Reports,176
EVT-0000152,9fb5d27b,admin@company002.com,9fb5d2-U04,export_data,2025-03-10,10:02:27,SES-182175,mobile_android,Reports,156
EVT-0000153,9fb5d27b,admin@company002.com,9fb5d2-U05,integration_connected,2025-03-10,22:46:58,SES-946561,web,Analytics,402
EVT-0000154,9fb5d27b,admin@company002.com,9fb5d2-U09,user_invited,2025-03-10,16:20:54,SES-389617,mobile_android,Analytics,540
EVT-0000155,9fb5d27b,admin@company002.com,9fb5d2-U07,dashboard_view,2025-03-10,14:09:09,SES-694116,web,Analytics,581
EVT-0000156,9fb5d27b,admin@company002.com,9fb5d2-U02,settings_changed,2025-03-10,21:34:56,SES-460572,mobile_android,Dashboard,397
EVT-0000157,9fb5d27b,admin@company002.com,9fb5d2-U08,session_start,2025-03-10,17:30:02,SES-280564,mobile_ios,Settings,152
EVT-0000158,9fb5d27b,admin@company002.com,9fb5d2-U07,login,2025-03-10,14:56:56,SES-447596,web,Analytics,491
EVT-0000159,9fb5d27b,admin@company002.com,9fb5d2-U05,integration_connected,2025-03-10,08:21:52,SES-932204,mobile_ios,Dashboard,292
EVT-0000160,9fb5d27b,admin@company002.com,9fb5d2-U08,dashboard_view,2025-03-10,21:14:08,SES-415076,mobile_android,Dashboard,280
EVT-0000161,9fb5d27b,admin@company002.com,9fb5d2-U07,session_start,2025-03-10,18:05:12,SES-563173,web,Settings,501
EVT-0000162,9fb5d27b,admin@company002.com,9fb5d2-U09,integration_connected,2025-03-10,21:03:32,SES-929937,web,Analytics,323
EVT-0000163,9fb5d27b,admin@company002.com,9fb5d2-U09,user_invited,2025-03-10,10:49:54,SES-649753,web,Reports,202
EVT-0000164,9fb5d27b,admin@company002.com,9fb5d2-U04,login,2025-03-10,11:02:29,SES-153015,mobile_ios,Users,208
EVT-0000165,9fb5d27b,admin@company002.com,9fb5d2-U05,integration_connected,2025-03-10,21:29:32,SES-516224,web,Users,36
EVT-0000166,9fb5d27b,admin@company002.com,9fb5d2-U04,integration_connected,2025-03-10,15:38:28,SES-286209,mobile_android,Integrations,569
EVT-0000167,9fb5d27b,admin@company002.com,9fb5d2-U06,integration_connected,2025-03-10,10:53:57,SES-371224,web,Dashboard,33
EVT-0000168,9fb5d27b,admin@company002.com,9fb5d2-U07,login,2025-03-10,10:54:36,SES-917711,web,Reports,235
EVT-0000169,9fb5d27b,admin@company002.com,9fb5d2-U04,settings_changed,2025-03-10,18:26:32,SES-121026,web,Settings,140
EVT-0000170,9fb5d27b,admin@company002.com,9fb5d2-U01,export_data,2025-03-09,12:38:51,SES-420297,mobile_ios,Settings,390
EVT-0000171,9fb5d27b,admin@company002.com,9fb5d2-U06,feature_used,2025-03-09,12:13:29,SES-416822,mobile_android,Integrations,109
EVT-0000172,9fb5d27b,admin@company002.com,9fb5d2-U01,api_call,2025-03-09,18:53:53,SES-492408,mobile_ios,Dashboard,115
EVT-0000173,9fb5d27b,admin@company002.com,9fb5d2-U08,dashboard_view,2025-03-09,13:17:40,SES-440930,mobile_ios,Dashboard,310
EVT-0000174,9fb5d27b,admin@company002.com,9fb5d2-U04,report_generated,2025-03-09,16:48:15,SES-159532,mobile_android,Users,332
EVT-0000175,9fb5d27b,admin@company002.com,9fb5d2-U03,login,2025-03-09,18:31:18,SES-372028,mobile_android,Settings,402
EVT-0000176,9fb5d27b,admin@company002.com,9fb5d2-U01,session_start,2025-03-09,19:36:52,SES-299140,mobile_ios,Users,232
EVT-0000177,9fb5d27b,admin@company002.com,9fb5d2-U08,integration_connected,2025-03-08,16:19:54,SES-278243,web,Dashboard,104
EVT-0000178,9fb5d27b,admin@company002.com,9fb5d2-U08,report_generated,2025-03-08,19:16:46,SES-947609,web,Users,348
EVT-0000179,9fb5d27b,admin@company002.com,9fb5d2-U02,export_data,2025-03-08,13:14:47,SES-422002,mobile_android,Dashboard,385
EVT-0000180,9fb5d27b,admin@company002.com,9fb5d2-U05,session_start,2025-03-08,12:29:54,SES-223502,mobile_android,Analytics,599
EVT-0000181,9fb5d27b,admin@company002.com,9fb5d2-U02,feature_used,2025-03-08,22:12:32,SES-225636,mobile_android,Integrations,310
EVT-0000182,9fb5d27b,admin@company002.com,9fb5d2-U07,login,2025-03-08,21:54:09,SES-244037,web,Dashboard,424
EVT-0000183,9fb5d27b,admin@company002.com,9fb5d2-U08,report_generated,2025-03-08,13:55:45,SES-289117,web,Settings,345
EVT-0000184,9fb5d27b,admin@company002.com,9fb5d2-U03,integration_connected,2025-03-08,18:03:00,SES-574012,mobile_ios,Reports,177
EVT-0000185,9fb5d27b,admin@company002.com,9fb5d2-U03,feature_used,2025-03-08,20:48:49,SES-192318,web,Integrations,449
EVT-0000186,9fb5d27b,admin@company002.com,9fb5d2-U07,user_invited,2025-03-08,14:30:24,SES-104895,web,Integrations,209
EVT-0000187,9fb5d27b,admin@company002.com,9fb5d2-U06,login,2025-03-08,22:20:48,SES-973703,web,Analytics,9
EVT-0000188,9fb5d27b,admin@company002.com,9fb5d2-U04,export_data,2025-03-08,19:56:22,SES-427252,web,Analytics,397
EVT-0000189,9fb5d27b,admin@company002.com,9fb5d2-U09,session_start,2025-03-08,12:10:04,SES-963862,web,Dashboard,302
EVT-0000190,9fb5d27b,admin@company002.com,9fb5d2-U08,api_call,2025-03-08,17:33:21,SES-554730,web,Dashboard,506
EVT-0000191,9fb5d27b,admin@company002.com,9fb5d2-U06,export_data,2025-03-08,10:58:58,SES-951452,mobile_android,Analytics,238
EVT-0000192,9fb5d27b,admin@company002.com,9fb5d2-U04,report_generated,2025-03-08,11:46:01,SES-718337,web,Analytics,380
EVT-0000193,9fb5d27b,admin@company002.com,9fb5d2-U01,user_invited,2025-03-08,22:40:16,SES-908713,web,Integrations,54
EVT-0000194,9fb5d27b,admin@company002.com,9fb5d2-U02,login,2025-03-08,08:44:07,SES-537020,mobile_android,Settings,131
EVT-0000195,9fb5d27b,admin@company002.com,9fb5d2-U09,settings_changed,2025-03-08,15:44:09,SES-315477,web,Dashboard,435
EVT-0000196,9fb5d27b,admin@company002.com,9fb5d2-U09,settings_changed,2025-03-07,17:38:44,SES-243826,mobile_android,Analytics,528
EVT-0000197,9fb5d27b,admin@company002.com,9fb5d2-U02,settings_changed,2025-03-07,09:50:06,SES-621917,web,Integrations,209
EVT-0000198,9fb5d27b,admin@company002.com,9fb5d2-U05,api_call,2025-03-07,11:22:45,SES-529660,mobile_ios,Reports,45
EVT-0000199,9fb5d27b,admin@company002.com,9fb5d2-U09,feature_used,2025-03-07,22:13:44,SES-604012,mobile_ios,Reports,7
EVT-0000200,9fb5d27b,admin@company002.com,9fb5d2-U01,dashboard_view,2025-03-07,22:07:53,SES-702042,mobile_android,Reports,97
EVT-0000201,9fb5d27b,admin@company002.com,9fb5d2-U02,dashboard_view,2025-03-06,22:16:41,SES-342389,mobile_android,Dashboard,275
EVT-0000202,9fb5d27b,admin@company002.com,9fb5d2-U08,login,2025-03-06,09:52:11,SES-141360,mobile_ios,Dashboard,325
EVT-0000203,9fb5d27b,admin@company002.com,9fb5d2-U07,dashboard_view,2025-03-06,09:54:48,SES-148118,web,Reports,179
EVT-0000204,9fb5d27b,admin@company002.com,9fb5d2-U06,integration_connected,2025-03-06,22:28:39,SES-381342,web,Dashboard,355
EVT-0000205,9fb5d27b,admin@company002.com,9fb5d2-U03,dashboard_view,2025-03-06,14:25:29,SES-385037,mobile_android,Users,494
EVT-0000206,9fb5d27b,admin@company002.com,9fb5d2-U07,report_generated,2025-03-06,09:08:44,SES-861697,web,Reports,111
EVT-0000207,9fb5d27b,admin@company002.com,9fb5d2-U07,session_start,2025-03-06,15:51:36,SES-811346,mobile_android,Reports,393
